Lake,Habitat,Site,Fresh weight,Dry weight,Dry weight_O,Species richness
Lower_Lake,Roadside,1,120.586,36.362,22.224,4
Lower_Lake,Roadside,2,100.301,30.648,19.118875,8
Lower_Lake,Roadside,3,190.898,93.357,17.6184,5
Lower_Lake,Abandoned,1,127.328,33.79,16.68216667,6
Lower_Lake,Abandoned,2,179.821,48.467,19.0246,5
Lower_Lake,Abandoned,3,151.771,39.875,25.0692,5
Lower_Lake,Natural,1,57.438,21.986,17.552,3
Lower_Lake,Natural,2,68.234,22.828,17.3496,5
Lower_Lake,Natural,3,98.301,32.585,15.58485714,7
Upper_Lake,Roadside,1,408.772,108.185,28.13057143,7
Upper_Lake,Roadside,2,185.138,79.766,37.83075,4
Upper_Lake,Roadside,3,316.856,85.031,22.10175,4
Upper_Lake,Abandoned,1,116.114,41.342,26.5545,4
Upper_Lake,Abandoned,2,258.606,90.177,23.68233333,6
Upper_Lake,Abandoned,3,134.269,55.561,21.84833333,6
Upper_Lake,Natural,1,156.889,49.089,19.7494,5
Upper_Lake,Natural,2,61.787,53.051,39.9145,2
Upper_Lake,Natural,3,70.143,33.371,22.857,3
Kerwa_Dam,Roadside,1,42.026,5.211,18.213,4
Kerwa_Dam,Roadside,2,34.28,21.255,28.884,5
Kerwa_Dam,Roadside,3,74.839,17.363,25.30114286,7
Kerwa_Dam,Abandoned,1,91.438,36.09,18.14109091,11
Kerwa_Dam,Abandoned,2,64.91,37.102,18.95914286,7
Kerwa_Dam,Abandoned,3,39.665,25.103,20.7975,8
Kerwa_Dam,Natural,1,128.26,54.842,21.9691,10
Kerwa_Dam,Natural,2,24.756,19.506,19.5946,10
Hathaikheda_Dam,Roadside,1,123.755,45.227,19.2405,4
Hathaikheda_Dam,Roadside,2,18.465,44.752,33.2915,2
Hathaikheda_Dam,Roadside,3,38.703,24.262,21.6275,2
Hathaikheda_Dam,Abandoned,1,56.83,25.397,21.27325,4
Hathaikheda_Dam,Abandoned,2,75.086,38.748,23.63975,4
Hathaikheda_Dam,Abandoned,3,75.086,22.007,19.3448,5
Hathaikheda_Dam,Natural,1,45.73,26.06,19.8832,5
Hathaikheda_Dam,Natural,2,40.812,22.212,19.56666667,3
Hathaikheda_Dam,Natural,3,61.42,29.399,21.961,2
